cell,altAnalyze,ascend,bigScale,cellranger,cidr,countClust,monocle,pcaReduce,phenograph,raceid,rca,sc3,scran,seurat,simlr,sincera,tscan,truth
RHC3546__Tcell__.C6E879,1,4,4,4,1,6,4,20,3,1,8,5,1,6,5,1,1,Tcell
RHC3552__Epithelial__.2749FE,1,3,2,5,2,7,4,18,3,2,0,9,1,5,2,2,2,Epithelial
RHC3553__Epithelial__.2749FE,1,3,2,2,2,3,3,9,1,2,0,7,1,1,7,2,2,Epithelial
RHC3555__Bcell__.7DEA7B,1,2,2,4,3,1,4,19,5,1,17,13,1,1,5,1,1,Bcell
RHC3556__Epithelial__.2749FE,1,1,9,2,4,1,6,29,1,2,1,7,2,5,7,3,3,Epithelial
RHC3557__Bcell__.7DEA7B,24,1,2,4,5,2,3,29,2,2,17,7,2,5,7,1,3,Bcell
RHC3562__Bcell__.7DEA7B,1,2,2,4,6,2,4,19,1,3,0,13,1,1,5,1,1,Bcell
RHC3563__Bcell__.7DEA7B,1,3,2,4,7,3,3,12,3,2,2,7,1,5,5,2,3,Bcell
RHC3565__Epithelial__.2749FE,24,1,2,2,4,1,6,29,2,2,10,7,3,5,7,3,3,Epithelial
RHC3567__Epithelial__.2749FE,5,1,1,2,8,1,6,29,2,2,0,7,3,1,7,3,3,Epithelial
RHC3568__Epithelial__.2749FE,1,3,2,3,2,3,4,9,1,2,20,9,1,5,6,2,2,Epithelial
RHC3569__Epithelial__.2749FE,1,1,9,1,9,1,6,22,3,3,0,4,1,2,7,4,3,Epithelial
RHC3577__Epithelial__.2749FE,1,1,2,2,9,5,6,13,1,2,19,7,1,1,7,2,3,Epithelial
RHC3579__Epithelial__.2749FE,1,2,9,1,9,1,6,6,3,4,11,7,2,2,7,4,4,Epithelial
RHC3581__Epithelial__.2749FE,1,1,9,2,4,1,6,29,1,3,4,7,2,5,7,3,6,Epithelial
RHC3582__Macrophage__.FFFF55,1,5,5,4,5,2,2,2,1,5,6,14,3,7,4,1,1,Macrophage
RHC3584__Epithelial__.2749FE,24,3,1,2,2,3,3,9,2,2,4,7,1,1,1,3,2,Epithelial
