	truth	SVM	SVMrej	RF	LDA	LDArej	NMC	kNN9	ACTINN	SingleCellNet	LAmbDA	scPred	CaSTLe	CHETAH	scID	scmapcell	scmapcluster	singleR	scVI	Cell_BLAST
CY88_5_D10_S718_comb	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	UNLABELED	UNLABELED	TUMOR	TUMOR	TUMOR	UNLABELED
cy80_CD45_neg_G02_S458_comb	TUMOR	TUMOR	UNLABELED	MACROPHAGE	TUMOR	TUMOR	TUMOR	CAF	TUMOR	BCELL	MACROPHAGE	TUMOR	BCELL	TUMOR	TUMOR	UNLABELED	UNLABELED	TUMOR	ENDO.	UNLABELED
merck_cd45negcd90neg_PL3_S274	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	T.CD8	UNLABELED	TUMOR	TUMOR	TUMOR	UNLABELED
cy78_CD45_neg_3_A10_S682_comb	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	T.CD8	UNLABELED	TUMOR	TUMOR	TUMOR	UNLABELED
Cy81_FNA_CD45_B02_S302_comb	TUMOR	TUMOR	UNLABELED	TUMOR	TCELL	UNLABELED	TUMOR	CAF	TUMOR	CAF	TUMOR	CAF	CAF	UNLABELED	TUMOR	UNLABELED	TUMOR	TUMOR	ENDO.	UNLABELED
cy102_CD45neg_CD90neg_S291	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	T.CD8	TUMOR	TUMOR	TUMOR	TUMOR	UNLABELED
cy79_p4_CD45_neg_PDL1_neg_F06_S1122_comb	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	T.CD8	UNLABELED	TUMOR	TUMOR	TUMOR	UNLABELED
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D09_S333_comb	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	BCELL	TUMOR	TUMOR	TUMOR	TUMOR	UNLABELED
cy129PA_CD45neg_CD90neg_S98	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	T.CD8	TUMOR	TUMOR	TUMOR	TUMOR	UNLABELED
cy79_p4_CD45_neg_PDL1_neg_A12_S1068_comb	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	BCELL	CAF	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	UNLABELED
cy102_CD45neg_CD90neg_S35	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	T.CD8	UNLABELED	TUMOR	TUMOR	TUMOR	UNLABELED
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A03_S291_comb	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	BCELL	CAF	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	BCELL	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR
cy79_p4_CD45_neg_PDL1_neg_B10_S1078_comb	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	BCELL	TUMOR	TUMOR	TUMOR	TUMOR	UNLABELED
Cy80_II_CD45_D09_S909_comb	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	BCELL	UNLABELED	TUMOR	TUMOR	TUMOR	UNLABELED
cy79_p4_CD45_neg_PDL1_pos_D12_S432_comb	TUMOR	TUMOR	UNLABELED	TUMOR	TUMOR	TUMOR	BCELL	CAF	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	BCELL	TUMOR	TUMOR	TUMOR	TUMOR	UNLABELED
cy102_CD45neg_CD90neg_S289	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	T.CD8	TUMOR	TUMOR	TUMOR	TUMOR	UNLABELED
cy103_CD45neg_CD90neg_S108	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	T.CD8	TUMOR	TUMOR	TUMOR	TUMOR	UNLABELED
cy79_p4_CD45_neg_PDL1_pos_G08_S464_comb	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	T.CD8	TUMOR	TUMOR	TUMOR	TUMOR	UNLABELED
cy79_p3_CD45_neg_PDL1_neg_C09_S225_comb	TUMOR	ENDO.	UNLABELED	TUMOR	TCELL	UNLABELED	TCELL	TUMOR	ENDO.	T.CD4	T.CD4	UNLABELED	TUMOR	CAF	TUMOR	UNLABELED	UNLABELED	TUMOR	T.CD8	UNLABELED
cy98_CD45neg_CD90neg_S37	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	UNLABELED	UNLABELED	TUMOR	TUMOR	TUMOR	UNLABELED
CY75_1_CD45_CD8_8__S310_comb_BCD8	T.CD8	NK	UNLABELED	T.CD8	T.CD8	T.CD8	NK	T.CD8	NK	T.CD8	T.CD8	NK	T.CD8	UNLABELED	NK	UNLABELED	UNLABELED	T.CD8	NK	UNLABELED
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D07_S235_comb	T.CD8	T.CD8	UNLABELED	T.CD8	T.CD8	T.CD8	T.CD4	NK	T.CD8	T.CD8	T.CD4	T.CD8	T.CD8	T.CD8	T.CD4	UNLABELED	UNLABELED	T.CD8	T.CD8	UNLABELED
CY89A_CD45_POS_6_D03_S135_comb	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD4	T.CD8	T.CD8	T.CD8	UNLABELED	T.CD8	T.CD8	T.CD4	UNLABELED	T.CD8	T.CD8	T.CD8	UNLABELED
CY89A_CD45_POS_6_E10_S154_comb	T.CD8	T.CD8	UNLABELED	T.CD8	T.CD8	UNLABELED	NK	CAF	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	UNLABELED	BCELL	UNLABELED	UNLABELED	T.CD8	NK	UNLABELED
cy98_CD45pos_1_S222	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	UNLABELED	UNLABELED	T.CD8	T.CD8	UNLABELED
cy121.1_CD45pos_S305	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	UNLABELED	UNLABELED	T.CD8	T.CD8	UNLABELED
cy102_CD45pos_S120	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	MACROPHAGE	BCELL	T.CD8	T.CD8	T.CD8	UNLABELED	T.CD8	T.CD8	T.CD8	UNLABELED	UNLABELED	T.CD8	T.CD8	UNLABELED
cy94_cd45pos_H08_S188_comb	T.CD8	T.CD4	UNLABELED	T.CD8	TCELL	TCELL	T.CD4	BCELL	T.CD4	T.CD8	TCELL	UNLABELED	T.CD8	UNLABELED	T.CD8	UNLABELED	UNLABELED	T.CD4	T.CD4	UNLABELED
cy94_cd45pos_4_A02_S2_comb	T.CD8	TCELL	UNLABELED	NK	T.CD8	UNLABELED	BCELL	CAF	T.CD8	T.CD8	T.CD4	UNLABELED	T.CD8	UNLABELED	BCELL	UNLABELED	UNLABELED	TCELL	T.CD4	UNLABELED
Merck_CD45pos_pl4_S59	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	NK	T.CD8	UNLABELED	UNLABELED	T.CD8	T.CD8	UNLABELED
cy103_CD45pos_S243	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	UNLABELED	T.CD8	UNLABELED	UNLABELED	T.CD8	T.CD8	UNLABELED
cy103_CD45pos_S220	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	BCELL	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD4	UNLABELED	UNLABELED	T.CD8	T.CD8	UNLABELED
cy126_CD45pos_1_S65	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	BCELL	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	UNLABELED	UNLABELED	T.CD8	T.CD8	UNLABELED
cy74_CD45_pos_A07_S679_comb	T.CD8	T.CD8	UNLABELED	T.CD8	T.CD8	UNLABELED	T.CD4	T.CD4	T.CD8	T.CD8	T.CD8	T.CD8	TCELL	T.CD8	T.CD8	UNLABELED	UNLABELED	T.CD8	T.CD8	UNLABELED
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_G10_S466_comb	T.CD8	T.CD8	UNLABELED	T.CD8	T.CD8	UNLABELED	NK	BCELL	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD4	UNLABELED	T.CD4	T.CD8	T.CD8	UNLABELED
CY75_1_CD45_CD8_8__S290_comb_BCD8	T.CD8	T.CD8	UNLABELED	T.CD8	T.CD8	T.CD8	T.CD8	NK	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	NK	T.CD4	UNLABELED	T.CD8	T.CD8	T.CD8	UNLABELED
CY88CD45_150813_B05_S305_comb_3	T.CD8	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	TUMOR	T.CD8	MACROPHAGE	TUMOR	T.CD8	TUMOR	T.CD8	UNLABELED	TUMOR	TUMOR	TUMOR	UNLABELED
cy98_CD45pos_1_S198	T.CD8	T.CD4	UNLABELED	T.CD8	TCELL	UNLABELED	T.CD8	T.CD8	TCELL	T.CD8	TCELL	UNLABELED	T.CD8	TCELL	T.CD8	UNLABELED	UNLABELED	TCELL	T.CD4	UNLABELED
cy04.3_CD45pos_S35	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	T.CD8	NK	UNLABELED	UNLABELED	TCELL	T.CD8	UNLABELED
cy79_p4_CD45_pos_PD1_pos_G04_S364_comb	T.CD8	T.CD8	T.CD8	T.CD4	T.CD8	UNLABELED	TCELL	T.CD8	T.CD8	T.CD8	TCELL	T.CD8	T.CD8	T.CD8	TCELL	UNLABELED	UNLABELED	T.CD8	TCELL	UNLABELED
MGH00478_CD45pos_1_S250	T.CD4	T.CD4	UNLABELED	TCELL	TCELL	TCELL	T.CD4	T.CD8	T.CD4	T.CD4	T.CD4	UNLABELED	T.CD4	T.CD4	T.CD8	UNLABELED	T.CD4	T.CD4	TCELL	UNLABELED
cy60_1_cd_45_pos_3_G11_S371_comb	T.CD4	T.CD4	UNLABELED	T.CD4	T.CD8	UNLABELED	NK	CAF	TCELL	T.CD4	T.CD8	UNLABELED	TCELL	T.CD4	T.CD4	UNLABELED	UNLABELED	TCELL	TCELL	UNLABELED
cy121.1_CD45pos_S353	T.CD4	T.CD4	UNLABELED	TCELL	T.CD4	T.CD4	T.CD4	BCELL	T.CD4	T.CD4	T.CD4	UNLABELED	T.CD4	T.CD4	T.CD8	UNLABELED	UNLABELED	T.CD4	TCELL	UNLABELED
cy88_cd45pos_5_D05_S233_comb	T.CD4	T.CD4	UNLABELED	TCELL	TCELL	TCELL	T.CD8	BCELL	T.CD4	T.CD4	TCELL	UNLABELED	TCELL	MACROPHAGE	T.CD8	UNLABELED	UNLABELED	T.CD4	T.CD4	UNLABELED
cy72_CD45_pos_G08_S944_comb	T.CD4	T.CD4	UNLABELED	T.CD4	T.CD4	T.CD4	TCELL	BCELL	T.CD4	T.CD4	T.CD4	T.CD4	T.CD4	TCELL	T.CD4	UNLABELED	T.CD4	TCELL	T.CD4	UNLABELED
cy102_CD45pos_S203	T.CD4	T.CD4	UNLABELED	TCELL	T.CD4	UNLABELED	TCELL	NK	T.CD4	T.CD4	T.CD4	T.CD8	T.CD4	T.CD4	T.CD8	UNLABELED	T.CD4	T.CD4	TCELL	UNLABELED
cy102_CD45pos_S257	T.CD4	T.CD4	UNLABELED	T.CD4	T.CD4	T.CD4	T.CD4	T.CD4	T.CD4	T.CD4	T.CD4	UNLABELED	T.CD4	UNLABELED	T.CD8	UNLABELED	UNLABELED	T.CD4	TCELL	UNLABELED
cy110_CD45pos_S302	T.CD4	TCELL	UNLABELED	T.CD8	T.CD8	UNLABELED	TCELL	CAF	TCELL	MACROPHAGE	T.CD8	UNLABELED	TCELL	MACROPHAGE	T.CD4	UNLABELED	UNLABELED	TCELL	T.CD4	UNLABELED
cy94_cd45pos_4_B03_S15_comb	T.CD4	TCELL	UNLABELED	TCELL	TCELL	UNLABELED	BCELL	BCELL	T.CD4	T.CD4	BCELL	UNLABELED	T.CD4	TCELL	BCELL	UNLABELED	UNLABELED	TCELL	TCELL	UNLABELED
cy53_1_CD45_pos_2_B02_S974_comb	T.CD4	T.CD4	UNLABELED	T.CD4	T.CD8	UNLABELED	NK	CAF	TCELL	T.CD4	T.CD4	T.CD8	TCELL	T.CD4	BCELL	UNLABELED	UNLABELED	T.CD4	T.CD4	UNLABELED
MGH00478_CD45pos_1_S257	T.CD4	T.CD4	UNLABELED	T.CD4	T.CD4	T.CD4	T.CD4	BCELL	TCELL	T.CD4	T.CD8	UNLABELED	T.CD4	T.CD4	T.CD8	UNLABELED	UNLABELED	T.CD4	TCELL	UNLABELED
cy129PA_CD45pos_S4	T.CD4	T.CD4	T.CD4	T.CD4	T.CD4	UNLABELED	T.CD4	NK	T.CD4	T.CD4	T.CD8	T.CD8	T.CD4	UNLABELED	T.CD8	UNLABELED	UNLABELED	T.CD4	T.CD4	UNLABELED
MGH00478_CD45pos_2_S329	T.CD4	T.CD4	UNLABELED	TCELL	T.CD4	UNLABELED	T.CD4	BCELL	T.CD4	T.CD4	T.CD4	T.CD4	T.CD4	T.CD4	T.CD8	T.CD4	T.CD4	T.CD4	T.CD4	UNLABELED
monika_C11_S119_comb_BCD8_3	T.CD4	T.CD4	UNLABELED	T.CD8	T.CD8	UNLABELED	T.CD8	T.CD8	T.CD4	T.CD4	T.CD8	UNLABELED	T.CD4	T.CD8	T.CD8	UNLABELED	UNLABELED	T.CD4	TCELL	UNLABELED
