MetaNeighborUS	B_CELLS	EPITHELIAL_CELLS	MACROPHAGES	DENDRITIC_CELLS	BASAL_CELLS	GRANULOCYTES	LYMPHATIC_EC	T_CELLS	ENDOTHELIAL_CELL	MAST_CELLS	SECRETORY_CLUB_CELLS	ERYTHROBLASTS	ALVEOLAR_CELL	LANGERHANS_CELLS	FIBROBLASTS	CANCER_CELLS	NATURAL_KILLER_CELLS
clust1	0.34375	0.03125	0.420454545454545	0.505681818181818	0.171875	0.171875	0.125	0.428977272727273	0.3125	0.75	0	0.0625	0.09375	0.28125	0.514204545454545	0.363636363636364	0.21875
clust2	0.426136363636364	0.28125	0.747159090909091	0.6875	0.421875	0.421875	0.375	0.465909090909091	0.59375	0.349431818181818	0.25	0.3125	0.321022727272727	0.332386363636364	0.605113636363636	0.909090909090909	0.5
clust3	0.434659090909091	0.122159090909091	0.588068181818182	0.596590909090909	0.262784090909091	0.262784090909091	0.215909090909091	0.443181818181818	0.357954545454545	0.818181818181818	0.0909090909090909	0.153409090909091	0.184659090909091	0.372159090909091	0.582386363636364	0.318181818181818	0.309659090909091
clust4	0.494318181818182	0.349431818181818	0.647727272727273	0.755681818181818	0.490056818181818	0.490056818181818	0.443181818181818	0.769886363636364	0.616477272727273	0.28125	0.318181818181818	0.380681818181818	0.389204545454545	0.446022727272727	0.696022727272727	0.863636363636364	0.568181818181818
clust5	0.389204545454545	0.0539772727272727	0.474431818181818	0.460227272727273	0.194602272727273	0.194602272727273	0.147727272727273	0.420454545454545	0.335227272727273	0.772727272727273	0.0227272727272727	0.0852272727272727	0.116477272727273	0.303977272727273	0.46875	0.386363636363636	0.241477272727273
clust6	0.738636363636364	0.167613636363636	0.457386363636364	0.528409090909091	0.308238636363636	0.308238636363636	0.261363636363636	0.701704545454545	0.380681818181818	0.863636363636364	0.136363636363636	0.198863636363636	0.230113636363636	0.409090909090909	0.764204545454545	0.508522727272727	0.355113636363636
clust7	0.806818181818182	0.508522727272727	0.883522727272727	0.801136363636364	0.649147727272727	0.649147727272727	0.602272727272727	0.730113636363636	0.767045454545455	0.508522727272727	0.477272727272727	0.539772727272727	0.571022727272727	0.673295454545455	0.877840909090909	0.795454545454545	0.727272727272727
clust8	0.78125	0.53125	0.875	0.9375	0.671875	0.671875	0.625	0.8125	0.84375	0.96875	0.5	0.5625	0.59375	0.71875	0.90625	1	0.75
clust9	0.5625	0.463068181818182	0.838068181818182	0.923295454545455	0.603693181818182	0.603693181818182	0.556818181818182	0.579545454545455	0.661931818181818	0.485795454545455	0.431818181818182	0.494318181818182	0.502840909090909	0.605113636363636	0.778409090909091	0.75	0.681818181818182
clust10	0.616477272727273	0.144886363636364	0.65625	0.573863636363636	0.285511363636364	0.285511363636364	0.238636363636364	0.556818181818182	0.426136363636364	0.886363636363636	0.113636363636364	0.176136363636364	0.207386363636364	0.417613636363636	0.71875	0.454545454545455	0.332386363636364
clust11	0.397727272727273	0.0767045454545455	0.3125	0.4375	0.217329545454545	0.217329545454545	0.170454545454545	0.34375	0.497159090909091	0.795454545454545	0.0454545454545455	0.107954545454545	0.139204545454545	0.326704545454545	0.536931818181818	0.409090909090909	0.264204545454545
clust12	0.630681818181818	0.372159090909091	0.639204545454545	0.619318181818182	0.512784090909091	0.512784090909091	0.465909090909091	0.65625	0.738636363636364	0.463068181818182	0.340909090909091	0.403409090909091	0.411931818181818	0.46875	0.627840909090909	0.818181818181818	0.590909090909091
clust13	0.517045454545455	0.440340909090909	0.602272727272727	0.710227272727273	0.580965909090909	0.580965909090909	0.534090909090909	0.502840909090909	0.792613636363636	0.326704545454545	0.409090909090909	0.471590909090909	0.480113636363636	0.536931818181818	0.855113636363636	0.840909090909091	0.659090909090909
clust14	0.752840909090909	0.235795454545455	0.698863636363636	0.642045454545455	0.376420454545455	0.376420454545455	0.329545454545455	0.815340909090909	0.852272727272727	0.954545454545455	0.204545454545455	0.267045454545455	0.298295454545455	0.713068181818182	0.923295454545455	0.340909090909091	0.423295454545455
clust15	0.511363636363636	0.0994318181818182	0.335227272727273	0.482954545454545	0.240056818181818	0.240056818181818	0.193181818181818	0.519886363636364	0.480113636363636	0.840909090909091	0.0681818181818182	0.130681818181818	0.161931818181818	0.349431818181818	0.491477272727273	0.431818181818182	0.286931818181818
clust16	0.860795454545455	0.190340909090909	0.738636363636364	0.551136363636364	0.362215909090909	0.362215909090909	0.315340909090909	0.571022727272727	0.471590909090909	0.931818181818182	0.159090909090909	0.252840909090909	0.284090909090909	0.622159090909091	0.786931818181818	0.0625	0.409090909090909
clust17	0.380681818181818	0.326704545454545	0.434659090909091	0.732954545454545	0.467329545454545	0.467329545454545	0.420454545454545	0.747159090909091	0.715909090909091	0.394886363636364	0.295454545454545	0.357954545454545	0.366477272727273	0.423295454545455	0.650568181818182	0.886363636363636	0.545454545454545
clust18	0.653409090909091	0.485795454545455	0.784090909090909	0.946022727272727	0.626420454545455	0.626420454545455	0.579545454545455	0.860795454545455	0.775568181818182	0.440340909090909	0.454545454545455	0.517045454545455	0.548295454545455	0.627840909090909	0.801136363636364	0.772727272727273	0.704545454545455
clust19	0.471590909090909	0.417613636363636	0.579545454545455	0.900568181818182	0.558238636363636	0.558238636363636	0.511363636363636	0.838068181818182	0.571022727272727	0.303977272727273	0.386363636363636	0.448863636363636	0.457386363636364	0.514204545454545	0.642045454545455	0.931818181818182	0.636363636363636
clust20	0.821022727272727	0.258522727272727	0.829545454545455	0.778409090909091	0.430397727272727	0.430397727272727	0.383522727272727	0.883522727272727	0.721590909090909	0.977272727272727	0.227272727272727	0.321022727272727	0.556818181818182	0.758522727272727	0.946022727272727	0.107954545454545	0.477272727272727
clust21	0.730113636363636	0.213068181818182	0.693181818181818	0.823863636363636	0.384943181818182	0.384943181818182	0.338068181818182	0.724431818181818	0.517045454545455	0.909090909090909	0.181818181818182	0.275568181818182	0.306818181818182	0.644886363636364	0.900568181818182	0.0852272727272727	0.431818181818182
clust22	0.571022727272727	0.394886363636364	0.534090909090909	0.877840909090909	0.535511363636364	0.535511363636364	0.488636363636364	0.678977272727273	0.494318181818182	0.417613636363636	0.363636363636364	0.426136363636364	0.434659090909091	0.491477272727273	0.710227272727273	0.954545454545455	0.613636363636364
clust23	0.639204545454545	0.303977272727273	0.448863636363636	0.664772727272727	0.444602272727273	0.444602272727273	0.397727272727273	0.511363636363636	0.701704545454545	0.372159090909091	0.272727272727273	0.335227272727273	0.34375	0.400568181818182	0.559659090909091	0.977272727272727	0.522727272727273
