CLASS	ColumnHeader	EnrichmentScore	p.Val	FDR	PassCutoff_p0.05_fdr0.1
OLIGODENDROCYTE	clust1	-0.120739201556451	0.394086718032167	0.794237956574157	0
VASCULAR	clust1	0.00340421769277865	0.403759765849796	0.804359262353951	0
NEURON	clust1	-0.0507095804415034	0.491897079763166	0.935603411051781	0
IMMUNE	clust1	0.372209204650877	0.0387316504230586	0.401416769953593	0
OPC	clust1	-0.345682833016587	0.115658663868167	0.602936090210662	0
ASTOCYTE	clust1	-0.192271983730685	0.286417182252537	0.71871051332297	0
OLIGODENDROCYTE	clust2	0.509615809717494	0.194985133499749	0.498336919148649	0
VASCULAR	clust2	-0.0741412087186009	0.386900532681226	0.767465307216873	0
NEURON	clust2	-0.103054953800151	0.365339744383084	0.719860548244109	0
IMMUNE	clust2	0.84252177373005	0.0650346319545079	0.3746949145767	0
OPC	clust2	-0.551439055661137	0.110232436055064	0.416150415532239	0
ASTOCYTE	clust2	-0.190768822671399	0.302725094334268	0.614816821111745	0
OLIGODENDROCYTE	clust3	0.769839515451612	0.134544357223467	0.346710646286	0
VASCULAR	clust3	-0.139572925416911	0.357400080163042	0.698955462746207	0
NEURON	clust3	-0.159732967859093	0.345308781721025	0.665718227820921	0
IMMUNE	clust3	0.943940934612494	0.0827670592789035	0.328365634199861	0
OPC	clust3	-0.563729607851765	0.14655889022266	0.357275438830116	0
ASTOCYTE	clust3	-0.33233122596058	0.249164904241118	0.480911910175462	0
OLIGODENDROCYTE	clust4	-0.228966797825007	0.39738866820746	0.702132418625392	0
VASCULAR	clust4	0.158229806799379	0.349104475966422	0.647231341764661	0
NEURON	clust4	-0.220036252708075	0.403162553610534	0.71061189799483	0
IMMUNE	clust4	-0.759847915469132	0.125407070048003	0.59668535659779	0
OPC	clust4	0.986471550466422	0.0380695831897856	0.402807865303976	0
ASTOCYTE	clust4	-0.376895530306456	0.305858482251724	0.618586325783636	0
OLIGODENDROCYTE	clust5	-0.453822008046361	0.226478773519457	0.448905484332865	0
VASCULAR	clust5	-0.110747601574142	0.448060331183503	0.914008147099832	0
NEURON	clust5	-0.260179495114876	0.344363023014911	0.594374187648174	0
IMMUNE	clust5	-0.61589813873285	0.148390218592162	0.445754780770559	0
OPC	clust5	0.337194394093359	0.248613072667466	0.463623614214418	0
ASTOCYTE	clust5	0.872496573676997	0.0498671332414908	0.420399295125322	0
OLIGODENDROCYTE	clust6	-0.19731199434123	0.35811550831873	0.435658322522444	0
VASCULAR	clust6	-0.233122596047737	0.254109740553824	0.435658322522444	0
NEURON	clust6	-0.156461382024177	0.490652895664688	0.719966857226883	0
IMMUNE	clust6	0.0841328087003892	0.0238832378755587	0.221026258240007	0
OPC	clust6	-0.2332994385253	0.253638111102498	0.435658322522444	0
ASTOCYTE	clust6	-0.185817233299635	0.394422704853349	0.469336523186901	0
OLIGODENDROCYTE	clust7	0.0284274282679746	0.357818523126694	0.529598824086892	0
VASCULAR	clust7	0.0057915911398822	0.33533447356229	0.462513542496466	0
NEURON	clust7	-0.160705601485689	0.191214503664272	0.364178402977675	0
IMMUNE	clust7	-0.121534992705485	0.221248098064217	0.364178402977675	0
OPC	clust7	0.777001635792917	0.049388044988381	0.364178402977675	0
ASTOCYTE	clust7	0.453556744329959	0.217658927121962	0.364178402977675	0
OLIGODENDROCYTE	clust8	-0.141252928953759	0.362858765962877	0.768523246000762	0
VASCULAR	clust8	-0.0550422211417969	0.462556151882078	0.856349546810448	0
NEURON	clust8	0.0343516512663424	0.431593471009291	0.820349252000725	0
IMMUNE	clust8	0.579822273310049	0.036140871607588	0.396961418265931	0
OPC	clust8	-0.437817763826909	0.108540147058862	0.642489973721057	0
ASTOCYTE	clust8	-0.121004465272796	0.385714859382235	0.782011573773251	0
OLIGODENDROCYTE	clust9	-0.0874928157746073	0.479742223290606	0.86038410730026	0
VASCULAR	clust9	-0.21145939254627	0.369122345097553	0.720031169148744	0
NEURON	clust9	0.718113090764402	0.0366664428442583	0.39668549072029	0
IMMUNE	clust9	-0.583712807816384	0.1179846542277	0.633053250276967	0
OPC	clust9	0.0411600866525265	0.403890296500593	0.750131116413776	0
ASTOCYTE	clust9	-0.268225827843993	0.321344473852207	0.694538706224864	0
OLIGODENDROCYTE	clust10	0.0640611874969637	0.440129794851582	0.790808853881527	0
VASCULAR	clust10	0.0391263981605494	0.410949938934933	0.765997961650914	0
NEURON	clust10	0.12533710597262	0.487098045329498	0.848142596016317	0
IMMUNE	clust10	0.742075246474203	0.030458998478509	0.395426406473259	0
OPC	clust10	-0.258234227861683	0.13283274509463	0.72304854469436	0
