"name"	"dataset"	"algorithm"	"F.Mean"	"F.Low"	"F.High"	"Rec.Mean"	"Rec.Low"	"Rec.High"	"Prec.Mean"	"Prec.Low"	"Prec.High"	"Rank"	"score"
"x"	"cb-cibersort"	"cb"	"cibersort"	0.09	0.06	0.11	"0.18"	"0.15"	"0.21"	"0.06"	"0.04"	"0.08"	23	23
"x.1"	"cb-gsea"	"cb"	"gsea"	0.06	0.04	0.09	"0.14"	"0.11"	"0.18"	"0.04"	"0.03"	"0.06"	22	25.5
"x.2"	"cb-gsva"	"cb"	"gsva"	0.11	0.09	0.14	"0.18"	"0.15"	"0.21"	"0.1"	"0.07"	"0.13"	19	22
"x.3"	"cb-metaneighbor"	"cb"	"metaneighbor"	0.08	0.06	0.11	"0.18"	"0.14"	"0.21"	"0.06"	"0.04"	"0.08"	24	24
"x.4"	"cb-ora"	"cb"	"ora"	0.06	0.05	0.09	"0.14"	"0.11"	"0.18"	"0.04"	"0.03"	"0.06"	18	25.5
"x.5"	"cb-adobo"	"cb"	"adobo"	0.19	0.16	0.23	"0.19"	"0.15"	"0.22"	"0.25"	"0.21"	"0.29"	25	21
"x.6"	"cb-sccatch"	"cb"	"sccatch"	0.43	0.39	0.47	"0.36"	"0.32"	"0.41"	"0.72"	"0.68"	"0.76"	26	20
"x.7"	"cb-SVM"	"cb"	"SVM"	0.95	0.92	0.97	"0.95"	"0.93"	"0.97"	"0.95"	"0.92"	"0.97"	2	1
"x.8"	"cb-SVMrej"	"cb"	"SVMrej"	0.92	0.89	0.94	"0.88"	"0.85"	"0.91"	"0.98"	"0.96"	"0.99"	7	9
"x.9"	"cb-RF"	"cb"	"RF"	0.9	0.87	0.93	"0.92"	"0.89"	"0.94"	"0.92"	"0.88"	"0.94"	9	12
"x.10"	"cb-LDA"	"cb"	"LDA"	0.93	0.9	0.95	"0.93"	"0.91"	"0.95"	"0.93"	"0.91"	"0.96"	10	5
"x.11"	"cb-LDArej"	"cb"	"LDArej"	0.93	0.9	0.95	"0.92"	"0.89"	"0.94"	"0.95"	"0.92"	"0.97"	11	5
"x.12"	"cb-NMC"	"cb"	"NMC"	0.88	0.86	0.91	"0.87"	"0.84"	"0.9"	"0.91"	"0.88"	"0.93"	16	13.5
"x.13"	"cb-kNN9"	"cb"	"kNN9"	0.88	0.84	0.91	"0.89"	"0.86"	"0.92"	"0.9"	"0.87"	"0.93"	13	13.5
"x.14"	"cb-ACTINN"	"cb"	"ACTINN"	0.94	0.92	0.96	"0.94"	"0.92"	"0.96"	"0.94"	"0.92"	"0.96"	4	2
"x.15"	"cb-scVI"	"cb"	"scVI"	0.93	0.9	0.95	"0.93"	"0.91"	"0.95"	"0.93"	"0.9"	"0.95"	3	5
"x.16"	"cb-Cell_BLAST"	"cb"	"Cell_BLAST"	0.62	0.57	0.67	"0.66"	"0.62"	"0.7"	"0.68"	"0.62"	"0.73"	17	19
"x.17"	"cb-SingleCellNet"	"cb"	"SingleCellNet"	0.92	0.9	0.95	"0.93"	"0.9"	"0.95"	"0.94"	"0.91"	"0.96"	5	9
"x.18"	"cb-LAmbDA"	"cb"	"LAmbDA"	0.93	0.9	0.95	"0.93"	"0.9"	"0.95"	"0.93"	"0.9"	"0.95"	12	5
"x.19"	"cb-scPred"	"cb"	"scPred"	0.91	0.88	0.94	"0.91"	"0.88"	"0.93"	"0.94"	"0.9"	"0.96"	1	11
"x.20"	"cb-CaSTLe"	"cb"	"CaSTLe"	0.92	0.89	0.94	"0.93"	"0.9"	"0.95"	"0.93"	"0.9"	"0.95"	8	9
"x.21"	"cb-CHETAH"	"cb"	"CHETAH"	0.85	0.82	0.88	"0.81"	"0.78"	"0.85"	"0.91"	"0.88"	"0.93"	14	16
"x.22"	"cb-scID"	"cb"	"scID"	0.84	0.81	0.87	"0.82"	"0.79"	"0.86"	"0.89"	"0.87"	"0.92"	20	17
"x.23"	"cb-scmapcell"	"cb"	"scmapcell"	0.83	0.79	0.87	"0.83"	"0.8"	"0.86"	"0.92"	"0.86"	"0.95"	15	18
"x.24"	"cb-scmapcluster"	"cb"	"scmapcluster"	0.87	0.84	0.9	"0.81"	"0.78"	"0.85"	"0.96"	"0.93"	"0.98"	21	15
"x.25"	"cb-singleR"	"cb"	"singleR"	0.93	0.9	0.95	"0.93"	"0.91"	"0.95"	"0.93"	"0.91"	"0.95"	6	5
"x.26"	"dg-cibersort"	"dg"	"cibersort"	0.55	0.53	0.57	"0.67"	"0.65"	"0.68"	"0.47"	"0.46"	"0.49"	23	23
"x.27"	"dg-gsea"	"dg"	"gsea"	0.99	0.99	0.99	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	22	4
"x.28"	"dg-gsva"	"dg"	"gsva"	0.6	0.59	0.62	"0.69"	"0.67"	"0.7"	"0.55"	"0.53"	"0.57"	19	22
"x.29"	"dg-metaneighbor"	"dg"	"metaneighbor"	0.1	0.08	0.11	"0.1"	"0.09"	"0.11"	"0.41"	"0.38"	"0.44"	24	26
"x.30"	"dg-ora"	"dg"	"ora"	0.99	0.99	0.99	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	18	4
"x.31"	"dg-adobo"	"dg"	"adobo"	0.29	0.28	0.31	"0.22"	"0.21"	"0.23"	"0.55"	"0.53"	"0.56"	25	24
"x.32"	"dg-sccatch"	"dg"	"sccatch"	0.16	0.15	0.17	"0.15"	"0.14"	"0.17"	"0.16"	"0.15"	"0.17"	26	25
"x.33"	"dg-SVM"	"dg"	"SVM"	0.98	0.98	0.99	"0.98"	"0.98"	"0.99"	"0.98"	"0.98"	"0.99"	2	9.5
"x.34"	"dg-SVMrej"	"dg"	"SVMrej"	0.98	0.98	0.98	"0.97"	"0.96"	"0.97"	"0.99"	"0.99"	"1"	7	9.5
"x.35"	"dg-RF"	"dg"	"RF"	0.98	0.97	0.98	"0.98"	"0.97"	"0.98"	"0.98"	"0.98"	"0.98"	9	9.5
"x.36"	"dg-LDA"	"dg"	"LDA"	0.97	0.97	0.98	"0.97"	"0.97"	"0.98"	"0.97"	"0.97"	"0.98"	10	13
"x.37"	"dg-LDArej"	"dg"	"LDArej"	0.97	0.97	0.98	"0.97"	"0.97"	"0.98"	"0.98"	"0.97"	"0.98"	11	13
"x.38"	"dg-NMC"	"dg"	"NMC"	0.95	0.94	0.96	"0.95"	"0.94"	"0.96"	"0.95"	"0.95"	"0.96"	16	17
"x.39"	"dg-kNN9"	"dg"	"kNN9"	0.82	0.8	0.83	"0.85"	"0.84"	"0.86"	"0.88"	"0.87"	"0.89"	13	18.5
"x.40"	"dg-ACTINN"	"dg"	"ACTINN"	0.99	0.99	0.99	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	4	4
"x.41"	"dg-scVI"	"dg"	"scVI"	0.99	0.99	0.99	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	"1"	3	4
"x.42"	"dg-Cell_BLAST"	"dg"	"Cell_BLAST"	0.82	0.8	0.83	"0.82"	"0.81"	"0.84"	"0.83"	"0.81"	"0.85"	17	18.5
"x.43"	"dg-SingleCellNet"	"dg"	"SingleCellNet"	0.99	0.98	0.99	"0.99"	"0.98"	"0.99"	"0.99"	"0.99"	"0.99"	5	4
"x.44"	"dg-LAmbDA"	"dg"	"LAmbDA"	0.96	0.95	0.96	"0.96"	"0.95"	"0.96"	"0.96"	"0.96"	"0.97"	12	15.5
"x.45"	"dg-scPred"	"dg"	"scPred"	0.99	0.99	0.99	"0.99"	"0.98"	"0.99"	"0.99"	"0.99"	"1"	1	4
"x.46"	"dg-CaSTLe"	"dg"	"CaSTLe"	0.98	0.98	0.99	"0.98"	"0.98"	"0.99"	"0.98"	"0.98"	"0.99"	8	9.5
