"dataset"	"algorithm"	"ARI"	"ARI_low_CI"	"ARI_high_CI"	"score"	"rank"
"cb"	"cibersort"	"0.11"	"0.07"	"0.15"	24	22
"cb"	"gsea"	"0.43"	"0.36"	"0.5"	20.5	17.75
"cb"	"gsva"	"0.18"	"0.14"	"0.23"	23	20
"cb"	"metaneighbor"	"0.03"	"0"	"0.06"	26	20.5
"cb"	"ora"	"0.43"	"0.36"	"0.5"	20.5	16.25
"cb"	"adobo"	"0.76"	"0.7"	"0.81"	15.5	23.25
"cb"	"sccatch"	"0.1"	"0.05"	"0.14"	25	25
"cb"	"SVM"	"0.88"	"0.83"	"0.93"	3	3.25
"cb"	"SVMrej"	"0.9"	"0.86"	"0.94"	1	3.75
"cb"	"RF"	"0.8"	"0.74"	"0.86"	13.5	9.25
"cb"	"LDA"	"0.86"	"0.8"	"0.91"	7	11.75
"cb"	"LDArej"	"0.87"	"0.82"	"0.91"	5	11.75
"cb"	"NMC"	"0.76"	"0.7"	"0.81"	15.5	16.75
"cb"	"kNN9"	"0.83"	"0.77"	"0.88"	12	15
"cb"	"ACTINN"	"0.88"	"0.83"	"0.92"	3	4.5
"cb"	"scVI"	"0.86"	"0.81"	"0.91"	7	4.25
"cb"	"Cell_BLAST"	"0.42"	"0.35"	"0.5"	22	19.5
"cb"	"SingleCellNet"	"0.84"	"0.79"	"0.9"	10.5	4.5
"cb"	"LAmbDA"	"0.88"	"0.83"	"0.92"	3	14.5
"cb"	"scPred"	"0.86"	"0.81"	"0.91"	7	4.25
"cb"	"CaSTLe"	"0.84"	"0.78"	"0.89"	10.5	7.25
"cb"	"CHETAH"	"0.61"	"0.54"	"0.68"	19	16.75
"cb"	"scID"	"0.66"	"0.59"	"0.73"	18	20
"cb"	"scmapcell"	"0.8"	"0.75"	"0.86"	13.5	16.25
"cb"	"scmapcluster"	"0.75"	"0.69"	"0.81"	17	22.5
"cb"	"singleR"	"0.85"	"0.79"	"0.9"	9	9.5
"dg"	"cibersort"	"0.36"	"0.34"	"0.38"	24.5	22
"dg"	"gsea"	"0.98"	"0.97"	"0.99"	4	17.75
"dg"	"gsva"	"0.64"	"0.62"	"0.67"	21	20
"dg"	"metaneighbor"	"0.47"	"0.45"	"0.49"	22	20.5
"dg"	"ora"	"0.98"	"0.97"	"0.99"	4	16.25
"dg"	"adobo"	"0.28"	"0.26"	"0.3"	26	23.25
"dg"	"sccatch"	"0.36"	"0.34"	"0.38"	24.5	25
"dg"	"SVM"	"0.97"	"0.96"	"0.98"	9.5	3.25
